Zone,Size,Ready,Middle,Not Ready
1,208,74,21,6
2,209,86,11,3
3,147,89,10,1
4,152,80,16,5
5,202,70,20,10
6,169,92,5,2
7,174,80,14,6
8,217,72,21,7
9,160,88,9,4
10,163,75,15,10
11,167,77,14,10
12,218,76,14,11
13,106,69,18,13
14,258,63,21,16
15,205,67,24,9
